,CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup,ProductGroup,OpJourneys,OpMiles
79,2016,2016/P02,2016/W06,West Suburban,Commuter,350855,3853527
80,2016,2016/P02,2016/W06,East Suburban,Off-Peak,71112,1398629
81,2016,2016/P02,2016/W06,eXpress,Off-Peak,57736,2156559
82,2016,2016/P02,2016/W06,Inter7City,Off-Peak,93477,6417228
83,2016,2016/P02,2016/W06,Scenic,Off-Peak,30326,1291974
84,2016,2016/P02,2016/W06,West Suburban,Off-Peak,496890,5113383
85,2016,2016/P02,2016/W06,East Suburban,Peak,66764,1247067
86,2016,2016/P02,2016/W06,eXpress,Peak,35547,1265669
87,2016,2016/P02,2016/W06,Inter7City,Peak,61625,3185562
88,2016,2016/P02,2016/W06,Scenic,Peak,20883,628714
89,2016,2016/P02,2016/W06,West Suburban,Peak,284387,3418665
90,2016,2016/P02,2016/W07,East Suburban,Commuter,68437,1170769
91,2016,2016/P02,2016/W07,eXpress,Commuter,34835,985644
92,2016,2016/P02,2016/W07,Inter7City,Commuter,30913,843077
93,2016,2016/P02,2016/W07,Scenic,Commuter,10842,203943
94,2016,2016/P02,2016/W07,West Suburban,Commuter,348368,3828465
95,2016,2016/P02,2016/W07,East Suburban,Off-Peak,70524,1367762
96,2016,2016/P02,2016/W07,eXpress,Off-Peak,59885,2272167
97,2016,2016/P02,2016/W07,Inter7City,Off-Peak,93682,6287458
98,2016,2016/P02,2016/W07,Scenic,Off-Peak,36278,1489688
99,2016,2016/P02,2016/W07,West Suburban,Off-Peak,494851,5123562
100,2016,2016/P02,2016/W07,East Suburban,Peak,64931,1206979
101,2016,2016/P02,2016/W07,eXpress,Peak,34379,1218234
102,2016,2016/P02,2016/W07,Inter7City,Peak,62821,3252886
103,2016,2016/P02,2016/W07,Scenic,Peak,21267,677454
104,2016,2016/P02,2016/W07,West Suburban,Peak,280281,3400473
105,2016,2016/P02,2016/W08,East Suburban,Commuter,73415,1253202
106,2016,2016/P02,2016/W08,eXpress,Commuter,35312,990781
107,2016,2016/P02,2016/W08,Inter7City,Commuter,31056,828164
108,2016,2016/P02,2016/W08,Scenic,Commuter,11271,208285
109,2016,2016/P02,2016/W08,West Suburban,Commuter,354876,3888719
110,2016,2016/P02,2016/W08,East Suburban,Off-Peak,69940,1395239
111,2016,2016/P02,2016/W08,eXpress,Off-Peak,58729,2193291
112,2016,2016/P02,2016/W08,Inter7City,Off-Peak,89941,6124268
113,2016,2016/P02,2016/W08,Scenic,Off-Peak,30958,1251871
114,2016,2016/P02,2016/W08,West Suburban,Off-Peak,499878,5180708
115,2016,2016/P02,2016/W08,East Suburban,Peak,68909,1287496
116,2016,2016/P02,2016/W08,eXpress,Peak,37410,1337437
117,2016,2016/P02,2016/W08,Inter7City,Peak,63116,3272144
118,2016,2016/P02,2016/W08,Scenic,Peak,20874,623801
119,2016,2016/P02,2016/W08,West Suburban,Peak,292163,3534749
120,2016,2016/P02,2016/W09,East Suburban,Commuter,75849,1298875
121,2016,2016/P02,2016/W09,eXpress,Commuter,37134,1051442
122,2016,2016/P02,2016/W09,Inter7City,Commuter,32125,854722
123,2016,2016/P02,2016/W09,Scenic,Commuter,11662,216414
124,2016,2016/P02,2016/W09,West Suburban,Commuter,360961,3955569
125,2016,2016/P02,2016/W09,East Suburban,Off-Peak,69749,1380984
126,2016,2016/P02,2016/W09,eXpress,Off-Peak,59451,2232092
127,2016,2016/P02,2016/W09,Inter7City,Off-Peak,91592,6224614
128,2016,2016/P02,2016/W09,Scenic,Off-Peak,31615,1295218
129,2016,2016/P02,2016/W09,West Suburban,Off-Peak,496844,5237679
130,2016,2016/P02,2016/W09,East Suburban,Peak,69853,1313304
131,2016,2016/P02,2016/W09,eXpress,Peak,37306,1341680
132,2016,2016/P02,2016/W09,Inter7City,Peak,63600,3288724
133,2016,2016/P02,2016/W09,Scenic,Peak,20993,625544
134,2016,2016/P02,2016/W09,West Suburban,Peak,285364,3494072
135,2016,2016/P03,2016/W10,East Suburban,Commuter,73765,1264319
136,2016,2016/P03,2016/W10,eXpress,Commuter,36011,1016907
137,2016,2016/P03,2016/W10,Inter7City,Commuter,31067,835466
138,2016,2016/P03,2016/W10,Scenic,Commuter,11389,212601
139,2016,2016/P03,2016/W10,West Suburban,Commuter,357711,3921082
140,2016,2016/P03,2016/W10,East Suburban,Off-Peak,66095,1302031
141,2016,2016/P03,2016/W10,eXpress,Off-Peak,57592,2189797
142,2016,2016/P03,2016/W10,Inter7City,Off-Peak,89251,6206771
143,2016,2016/P03,2016/W10,Scenic,Off-Peak,31551,1296686
144,2016,2016/P03,2016/W10,West Suburban,Off-Peak,499890,5235529
145,2016,2016/P03,2016/W10,East Suburban,Peak,67483,1259001
146,2016,2016/P03,2016/W10,eXpress,Peak,36818,1326031
147,2016,2016/P03,2016/W10,Inter7City,Peak,64256,3371848
148,2016,2016/P03,2016/W10,Scenic,Peak,21106,621243
149,2016,2016/P03,2016/W10,West Suburban,Peak,290776,3556947
150,2016,2016/P03,2016/W11,East Suburban,Commuter,72200,1229280
151,2016,2016/P03,2016/W11,eXpress,Commuter,36032,1039807
152,2016,2016/P03,2016/W11,Inter7City,Commuter,30782,827938
153,2016,2016/P03,2016/W11,Scenic,Commuter,10990,202972
154,2016,2016/P03,2016/W11,West Suburban,Commuter,347128,3824913
155,2016,2016/P03,2016/W11,East Suburban,Off-Peak,74106,1534355
156,2016,2016/P03,2016/W11,eXpress,Off-Peak,69409,2667189
157,2016,2016/P03,2016/W11,Inter7City,Off-Peak,91385,6157636
158,2016,2016/P03,2016/W11,Scenic,Off-Peak,34025,1407964
159,2016,2016/P03,2016/W11,West Suburban,Off-Peak,536193,5596128
160,2016,2016/P03,2016/W11,East Suburban,Peak,68602,1294984
161,2016,2016/P03,2016/W11,eXpress,Peak,37444,1332854
