dt,device_type,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,is_marked_as_eco_option,currency,amount,unit,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,iata_code_origin,latitude_deg_dest,longitude_deg_dest,iso_country_dest,iata_code_dest,distance_miles
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,1.0,ECONOMY,return,2022-12-22,2022-12-26,TRUE,GBP,20400.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,1.0,ECONOMY,return,2022-12-22,2022-12-26,TRUE,GBP,20400.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LHR-EDI,3.0,0.0,ECONOMY,oneway,2022-04-07,,TRUE,GBP,64700.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LHR-EDI,3.0,0.0,ECONOMY,oneway,2022-04-07,,TRUE,GBP,64700.0,CENTI,-32480,BOOK_WITH_SKYSCANNER,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LHR-EDI,3.0,0.0,ECONOMY,oneway,2022-04-07,,TRUE,GBP,64700.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18,,TRUE,NZD,15100.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18,,TRUE,NZD,15100.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-19,,TRUE,GBP,3500.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-19,,TRUE,GBP,3500.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18,,TRUE,NZD,30400.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18,,TRUE,NZD,30400.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,oneway,2022-08-06,,TRUE,EUR,6300.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,oneway,2022-08-06,,TRUE,EUR,6300.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-06-05,2022-09-05,TRUE,GBP,9600.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-06-05,2022-09-05,TRUE,GBP,9600.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-07-17,,TRUE,CLP,4818500.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,7.0,3.0,ECONOMY,oneway,2022-07-20,,TRUE,GBP,41100.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-17,2022-05-20,TRUE,GBP,8300.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2022-05-17,2022-05-20,TRUE,GBP,8300.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,oneway,2022-07-18,,TRUE,TWD,332700.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,return,2022-05-08,2022-07-08,TRUE,GBP,18800.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
