dt,device_type,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,is_marked_as_eco_option,currency,amount,unit,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,iata_code_origin,latitude_deg_dest,longitude_deg_dest,iso_country_dest,iata_code_dest,distance_miles
2021-03-05,IOS,GRU,EDI,GRU-EDI,1.0,0.0,ECONOMY,oneway,2021-06-17 00:00:00,,FALSE,BRL,159000.0,CENTI,-32132,REDIRECT,-23.431944,-46.467778,BR,GRU,55.950145,-3.372288,GB,EDI,6037.588244412737
2022-02-05,IOS,GRU,EDI,GRU-EDI,1.0,0.0,ECONOMY,return,2022-09-26 00:00:00,2022-11-29 00:00:00,TRUE,BRL,383100.0,CENTI,-32222,REDIRECT,-23.431944,-46.467778,BR,GRU,55.950145,-3.372288,GB,EDI,6037.588244412737
2022-02-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18 00:00:00,,TRUE,NZD,29900.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18 00:00:00,,TRUE,NZD,29900.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2019-06-05,IOS,LHR,EDI,LOND-EDI,2.0,2.0,ECONOMY,oneway,2019-08-18 00:00:00,,FALSE,AED,64600.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2019-06-05,IOS,LHR,EDI,LOND-EDI,2.0,2.0,ECONOMY,oneway,2019-08-18 00:00:00,,FALSE,AED,64600.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,oneway,2022-06-05 00:00:00,,TRUE,AUD,20300.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2019-06-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2019-07-27 00:00:00,,FALSE,HKD,44600.0,CENTI,-32302,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2019-06-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2019-07-27 00:00:00,,FALSE,HKD,44600.0,CENTI,-32302,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2021-03-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,oneway,2021-06-06 00:00:00,,FALSE,GBP,11000.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2021-03-05,IOS,LHR,EDI,LOND-EDI,2.0,0.0,ECONOMY,oneway,2021-06-06 00:00:00,,FALSE,GBP,11000.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-02-05 00:00:00,,TRUE,GBP,10100.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-02-05 00:00:00,,TRUE,GBP,10100.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
2021-03-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,return,2021-05-21 00:00:00,2021-05-23 00:00:00,FALSE,GBP,11100.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,GB,EDI,331.5269422004703
