,dt,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,iso_country_origin,CO2_emissions,CO2_per_flight,CO2_emissions_per_passenger
33,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,oneway,06/08/2022,,EUR,6300,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
34,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,oneway,06/08/2022,,EUR,6300,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
35,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,05/06/2022,05/09/2022,GBP,9600,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
36,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,05/06/2022,05/09/2022,GBP,9600,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
37,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,oneway,17/07/2022,,CLP,4818500,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
38,05/02/2022,LHR,EDI,LOND-EDI,7,3,ECONOMY,oneway,20/07/2022,,GBP,41100,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
39,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,17/05/2022,20/05/2022,GBP,8300,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
40,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,17/05/2022,20/05/2022,GBP,8300,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
41,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,oneway,18/07/2022,,TWD,332700,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
42,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,return,08/05/2022,08/07/2022,GBP,18800,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
43,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,return,08/05/2022,08/07/2022,GBP,18800,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
44,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,13/05/2022,14/05/2022,GBP,8400,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
45,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,13/05/2022,14/05/2022,GBP,8400,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
46,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,14/05/2022,14/05/2022,GBP,8300,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
47,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,14/05/2022,14/05/2022,GBP,8300,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
48,05/03/2021,LHR,EDI,LHR-EDI,1,0,ECONOMY,return,25/05/2021,28/05/2021,GBP,15200,CENTI,-32480,REDIRECT,UK,3679.949045,,25.91513412
49,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,return,28/06/2022,29/06/2022,GBP,14200,CENTI,-32356,DIRECT_BOOKING,UK,3679.949045,,25.91513412
50,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,return,28/06/2022,29/06/2022,GBP,14200,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
51,05/03/2021,LHR,EDI,LHR-EDI,1,0,ECONOMY,return,21/07/2021,25/07/2021,GBP,16000,CENTI,-32480,REDIRECT,UK,3679.949045,,25.91513412
52,05/02/2022,LHR,EDI,LOND-EDI,2,0,ECONOMY,return,29/05/2022,06/01/2022,GBP,15200,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
53,05/02/2022,LHR,EDI,LOND-EDI,1,0,ECONOMY,return,07/08/2022,07/11/2022,GBP,8000,CENTI,-32356,REDIRECT,UK,3679.949045,,25.91513412
