,dt,device_type,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,iata_code_origin,latitude_deg_dest,longitude_deg_dest,iata_code_dest,distance_miles,distance_km,CO2_emissions,CO2_emissions_per_passenger
21,2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,1.0,ECONOMY,return,2022-07-18,2022-07-21,GBP,20100.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
22,2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,1.0,ECONOMY,return,2022-12-22,2022-12-26,GBP,20400.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
23,2022-02-05,IOS,LHR,EDI,LOND-EDI,2.0,1.0,ECONOMY,return,2022-12-22,2022-12-26,GBP,20400.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
24,2022-02-05,IOS,LHR,EDI,LHR-EDI,3.0,0.0,ECONOMY,oneway,2022-04-07,,GBP,64700.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
25,2022-02-05,IOS,LHR,EDI,LHR-EDI,3.0,0.0,ECONOMY,oneway,2022-04-07,,GBP,64700.0,CENTI,-32480,BOOK_WITH_SKYSCANNER,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
26,2022-02-05,IOS,LHR,EDI,LHR-EDI,3.0,0.0,ECONOMY,oneway,2022-04-07,,GBP,64700.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
27,2022-02-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18,,NZD,15100.0,CENTI,-32480,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
28,2022-02-05,IOS,LHR,EDI,LHR-EDI,1.0,0.0,ECONOMY,oneway,2022-07-18,,NZD,15100.0,CENTI,-32480,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
29,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-19,,GBP,3500.0,CENTI,-32356,REDIRECT,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
30,2022-02-05,IOS,LHR,EDI,LOND-EDI,1.0,0.0,ECONOMY,oneway,2022-06-19,,GBP,3500.0,CENTI,-32356,DIRECT_BOOKING,51.4706,-0.461941,GB,LHR,55.950145,-3.372288,EDI,331.5269422004703,533.5408952686737,3679.949045175048,25.91513412095104
